key,ko,en
title,[B42]project Zomboid 직업 및 특성 계산기,[B42]Project Zomboid Trait Calculator
save,png로 저장하기,Save as PNG
generate,결과 생성하기,Generate Result
preview,결과값 미리보기,Preview result
ment,이것은 당신의 죽음에 관한 이야기이다.,This is how you died.
sum,포인트,Point
strength,근력,Strength
fitness,체력,Fitness
Axe,도끼,Axe
Running,능숙한 달리기,Running
Aiming,조준,Aiming
Nimble,조준시 발걸음,Nimble
Reloading,재장전,Reloading
Carpentry,목공,Carpentry
Foraging,채집,Foraging
Trapping,함정,Trapping
Maintenance,물건관리,Maintenance
Masonry,석공술,Masonry
ShortBlunt,짧은 둔기,Short Blunt
LongBlunt,긴 둔기,Long Blunt
Carving,조각술,Carving
Sneaking,은밀한 움직임,Sneaking
Butchering,도축,Butchering
Cooking,요리,Cooking
ShortBlade,단검,Short Blade
LongBlade,장검,Long Blade
Agriculture,농사,Agriculture
AnimalCare,목축,Animal Care
Fishing,낚시,Fishing
FirstAid,의료,First Aid
Electrical,전기공학,Electrical
Welding,용접,Welding
Metalworking,금속가공,Metalworking
Mechanics,기계공학,Mechanics
Tailoring,재봉,Tailoring
Glassmaking,유리공예,Glassmaking
Pottery,도자기,Pottery
Sprinting,스프린트,Sprinting
Lightfooted,조용한 발걸음,Light footed
NightOwl,야행성,Night Owl
Burglar,좀도둑 기술,Burglar Skill
Desensitized,둔감한,Desensitized
Axpert,도끼 전문가,Axpert
Nutritionist,영양사,Nutritionist
Keencook,요리 레시피,Keen Cook
Generator,발전기 사용가능,Generator
TrapAndBomb,함정과 폭탄제작,Trap and Bomb
Blacksmith,대장장이 기술,Blacksmith
Vehicle,차량 정비,Vehicle Knowledge
FlintKnapping,부싯돌 제작*,Flint Knapping*
Pushbroom,빗자루,Pushbroom
Ratchet,라쳇렌치,Ratchet
RollingPin,밀대,Rolling Pin
Screwdriver,스크류드라이버,Screwdriver
Shovel,삽,Shovel
SpikePuller,철도못제거기,SpikePuller
WoodAxe,벌목도끼,WoodAxe
Wrench,렌치,Wrench
Axe,도끼,Axe
BaseballBat,야구방망이,Baseball Bat
Bat_Broken,부러진방망이,Bat(broken)
Bat_Metal,쇠방망이,Metal Bat
BrokenBottle,깨진병,Broken Bottle
Cleaver,중식도,Cleaver
Crowbar,쇠지렛대,Crowbar
FireplacePoker,불쏘시개,Fireplace Poker
Fork,포크,Fork
Hammer,망치,Hammer
HuntingKnife,사냥용 칼,Hunting Knife
KnifeLarge,대검,Knife(large)
MetalTube,쇠막대기,MetalTube
NightStick,곤봉,NightStick
Pan,후라이팬,Pan
PickAxe,곡괭이,PickAxe
PipeWrench,파이프렌치,PipeWrench
Plunger,뚜러뻥,Plunger
Sledgehamer,대형 망치,Sledgehamer
Katana,카타나,Katana
Machete,마체테,Machete
ToiletPaper,휴지,Toilet Paper
Rag,찢어진 천,Rag
Bandaid,반창고,Bandaid
Bandage,붕대,Bandage
BandageDirty,붕대(오염됨),Bandage(Dirty)
WaterBottle,물병,Water Bottle
PopBottle,음료수병,Pop Bottle
Bleach,표백제 통,Bleach
bleach,표백제,Bleach
water,물,Water
taintedWater,오염된 물,Tainted Water
taintedWaterInfo,오염된 물을 마시면 병들 수 있습니다,Drinking tainted Water may be sick.
CannedCornedBeef,콘비프 통조림,Canned Corned Beef
ElectronicsScrap,전자 부품,Scrap Electronics
remainZombie,남은 좀비,Zombies
WestPoint,웨스트포인트,West Point
Louisville,루이빌,Louisville
nextMap,지역 탐색,New Area
prevMap,이전 지역,Previous Area
corpse,시체,Corpse
storage,보관함,Storage
ground,바닥,Ground
farm,농장,Farm
house,가정집,House
road,길거리,Road
store_tool,도구상점,Tool store
store,상점,Store
livestock,목축지,Livestock
river,강변,River
hungry,배고픔,Hungry
thirsty,목마름,Thirsty
foodPoisoning,식중독,Food Poisoning
lacerated,긁힌 상처,Lacerated Wound
scratched,찢어진 상처,Scratched Wound
bitten,물린 상처,Bitten Wound
sunny,맑음,Sunny
windy,강풍,Windy
rain,호우,Rain
foggy,안개,Foggy
